id;lat;lng;price;gross size;rooms;type;planta;Region
29563517;40.1851186;-4.034681;1100;2.4;0;premise;0.0;Castilla-La Mancha
29402498;40.1838186;-4.034681;1100;2.4;0;premise;0.0;Castilla-La Mancha
27823136;43.54178;-5.66552;11200;4.0;0;office;0.0;Asturias
28391943;39.5028511;-0.4409304;2400;4.0;0;premise;1.0;Valencia
28705988;39.487308;-0.393113;2500;4.0;0;premise;1.0;Valencia
27823147;43.54178;-5.66552;13400;5.0;0;office;0.0;Asturias
28548283;39.9854344;-0.0461296;2500;5.0;0;premise;1.0;Valencia
27823146;43.54178;-5.66552;15100;6.0;0;office;0.0;Asturias
27823145;43.54178;-5.66552;15100;6.0;0;office;0.0;Asturias
29036476;43.1456616;-2.9649239;7500;6.0;0;premise;2.0;Pais Vasco
29568962;41.3827778;2.1865421;5000;6.0;0;premise;1.0;Cataluña
29205235;41.6436512;-0.8899597;6500;6.0;0;premise;1.0;Aragon
28065949;40.9719768;-5.673285;33000;7.0;0;premise;2.0;Castilla-Leon
27668794;43.4631646;-3.8095977;12800;8.0;0;premise;2.0;Cantabria
29650639;42.3508008;-3.6621853;10000;10.0;0;premise;2.0;Castilla-Leon
29302692;39.651549;2.7747737;140000;10.0;0;countryHouse;0.0;Baleares
29776011;40.9693279;-5.6713067;8500;10.0;0;premise;2.0;Castilla-Leon
28670454;37.2985302;-4.8719748;2500;10.0;0;premise;3.0;Andalucia
28670453;37.2954302;-4.8716748;2500;10.0;0;premise;3.0;Andalucia
29467297;41.637141;-0.8760888;13000;10.0;0;premise;2.0;Aragon
29648751;40.3164511;-3.7165455;11000;10.0;0;premise;2.0;Madrid
29944969;43.2581917;-2.9236892;50000;10.0;0;premise;2.0;Pais Vasco
27377219;40.4474666;-3.7040244;55000;10.0;0;premise;2.0;Madrid
29834156;41.6394894;-0.8782188;15900;10.0;0;premise;1.0;Aragon
25941501;43.2621917;-2.9227892;50000;10.0;0;premise;2.0;Pais Vasco
25098347;43.2746451;-2.9456474;60100;10.0;0;premise;2.0;Pais Vasco
27296699;43.3974426;-3.4487604;5500;10.0;0;premise;6.0;Cantabria
28839875;38.8755864;-6.958307;8000;10.8;0;premise;2.0;Extremadura
27823144;43.54178;-5.66552;31200;11.0;0;office;0.0;Asturias
2310179;43.2376871;-2.8948379;35417;11.0;0;premise;2.0;Pais Vasco
27224501;43.4210531;-2.7213783;21200;11.0;0;premise;0.0;
29035186;41.9193105;3.1572018;12000;11.0;0;premise;2.0;Cataluña
28322980;41.6447531;-0.8816105;3500;11.0;0;premise;2.0;Aragon
26000471;36.7582851;-2.6109308;8300;11.0;0;premise;2.0;Andalucia
28303892;41.6329202;-4.7356528;10600;11.0;0;premise;3.0;Castilla-Leon
28116290;37.9426674;-4.4980687;2000;11.0;0;premise;2.0;Andalucia
29672101;43.3244907;-1.9847678;25000;11.0;0;premise;1.0;
28258925;41.4135844;2.1619353;35000;11.0;0;premise;2.0;Cataluña
29283215;43.3150358;-1.983675;6500;11.0;0;premise;1.0;Pais Vasco
29587391;39.475229;-0.3539361;30000;11.0;0;premise;2.0;Valencia
29640660;40.4228774;-3.6508568;16000;12.0;0;premise;0.0;Madrid
27823141;43.54178;-5.66552;33900;12.0;0;office;0.0;Asturias
27823143;43.54178;-5.66552;33300;12.0;0;office;0.0;Asturias
27823142;43.54178;-5.66552;33500;12.0;0;office;0.0;Asturias
27224899;37.8909605;-4.7908407;11000;12.0;0;premise;2.0;Andalucia
29548806;42.538354;1.582445;9000;12.0;0;premise;0.0;
29548829;42.538354;1.583845;9000;12.0;0;premise;0.0;
27175933;41.4392248;2.2266199;17320;12.0;0;premise;2.0;Cataluña
29802258;41.3010723;1.9987689;2000;12.0;0;premise;5.0;Cataluña
27175672;41.5762811;1.6205596;31960;12.0;0;premise;2.0;Cataluña
27267010;37.8889605;-4.7917407;11000;12.0;0;premise;2.0;Andalucia
28303884;41.6369202;-4.7377528;11600;12.0;0;premise;3.0;Castilla-Leon
28303887;41.6335202;-4.7392528;11600;12.0;0;premise;3.0;Castilla-Leon
28303891;41.6329202;-4.7366528;11600;12.0;0;premise;3.0;Castilla-Leon
28303894;41.6341202;-4.7392528;11600;12.0;0;premise;3.0;Castilla-Leon
28303897;41.6337202;-4.7392528;11600;12.0;0;premise;3.0;Castilla-Leon
28303883;41.6339202;-4.7392528;11600;12.0;0;premise;3.0;Castilla-Leon
28303878;41.6329202;-4.7375528;11600;12.0;0;premise;3.0;Castilla-Leon
28303885;41.6329202;-4.7388528;11600;12.0;0;premise;3.0;Castilla-Leon
28303888;41.6350202;-4.7392528;11600;12.0;0;premise;3.0;Castilla-Leon
29725125;43.2535183;-3.0999818;20000;12.0;0;premise;2.0;Pais Vasco
28880379;43.4639723;-3.7892693;10500;12.0;0;premise;1.0;Cantabria
28471268;40.4135605;-3.7001807;31000;12.0;0;flat;7.0;Madrid
29152813;43.3045438;-1.9793086;40000;12.0;0;office;2.0;Pais Vasco
28772548;41.3997487;2.1752224;19500;12.0;0;premise;2.0;Cataluña
