id,lat,lng,price,gross size,rooms,type,planta
4912,39.22528954,-3.608473978,0,15,0,land,0
15195,43.53932903,-5.686831465,0,15,0,flat,8
15567,43.28921871,-5.648016878,0,15,0,garage,0
2942,37.35849115,-1.665176,0,16,0,house,0
4532,37.44686359,-5.788681429,0,16,0,house,0
13878,43.53278046,-5.670957326,0,16,0,office,0
15618,43.3086668,-6.469824879,0,16,0,land,0
16246,28.66031947,-17.92185862,0,16,0,land,0
16358,41.49839879,2.379447083,0,16,0,flat,5
22490,36.69025673,-4.47549377,0,16,0,land,0
5250,41.54635324,2.218099142,0,17,0,garage,0
10926,28.1075444,-15.41451872,0,17,0,land,6
6145,37.38873784,-6.435869179,0,18,0,garage,0
2628,40.97553359,-5.679454545,0,19,0,garage,2
23965,41.70238257,1.489325575,0,19,0,garage,2
11,41.91254275,3.167511731,0,20,0,garage,1
2346,40.4076224,-3.7074861,0,20,0,flat,4
3472,37.37015949,-2.970737112,0,20,0,house,0
6870,43.35591052,-5.835902761,0,20,0,garage,2
11012,39.5648815,2.624758629,0,20,0,garage,0
14562,43.2862503,-5.645697678,0,20,0,garage,2
22832,40.33142088,-1.107832011,0,20,0,land,0
29052,41.15224034,1.10312789,0,20,0,garage,1
30132,40.62058863,-4.007694768,0,20,0,garage,0
68,39.28266705,-2.791939105,0,21,0,garage,2
3254,38.53370945,-0.157917553,0,21,0,garage,2
17828,40.39758253,0.415654951,0,21,0,garage,2
1811,39.17193322,-3.855016225,0,22,0,house,0
2594,39.17193322,-3.855016225,0,22,0,house,0
5025,41.73983012,1.83721262,0,22,0,garage,0
7227,41.5139005,-5.740657816,0,22,0,garage,0
12249,43.35870478,-5.845119685,0,22,0,garage,2
14622,43.52815859,-5.632994952,0,22,0,garage,0
16991,38.9044774,-6.334679265,0,22,0,garage,0
18205,43.26596714,-5.870311179,0,22,0,garage,2
23499,41.47195253,1.532825109,0,22,0,land,0
27370,37.88487388,-4.772671286,0,22,0,garage,1
27418,37.88487388,-4.772671286,0,22,0,garage,1
878,41.45168887,2.202683089,0,23,0,garage,1
2137,37.7637137,-3.792881509,0,23,0,house,2
